original_file,spectrogram_file,emotion,split
1030_IWW_NEU_XX.wav,neutral_0000.png,neutral,train
1045_IWL_NEU_XX.wav,neutral_0001.png,neutral,train
1080_TSI_ANG_XX.wav,angry_0002.png,angry,train
1003_IEO_SAD_HI.wav,sad_0003.png,sad,train
1013_IEO_ANG_MD.wav,angry_0004.png,angry,train
1090_IWL_DIS_XX.wav,disgust_0005.png,disgust,train
1061_TIE_HAP_XX.wav,happy_0006.png,happy,train
1004_DFA_NEU_XX.wav,neutral_0007.png,neutral,train
1011_IEO_ANG_LO.wav,angry_0008.png,angry,train
1014_TAI_FEA_XX.wav,fear_0009.png,fear,train
1035_TIE_NEU_XX.wav,neutral_0010.png,neutral,train
1059_MTI_NEU_XX.wav,neutral_0011.png,neutral,train
1009_DFA_NEU_XX.wav,neutral_0012.png,neutral,train
1059_ITH_NEU_XX.wav,neutral_0013.png,neutral,train
1015_ITS_HAP_XX.wav,happy_0014.png,happy,train
1004_IOM_HAP_XX.wav,happy_0015.png,happy,train
1074_ITS_HAP_XX.wav,happy_0016.png,happy,train
1052_IWL_ANG_XX.wav,angry_0017.png,angry,train
1086_ITS_DIS_XX.wav,disgust_0018.png,disgust,train
1004_IOM_ANG_XX.wav,angry_0019.png,angry,train
1029_MTI_SAD_XX.wav,sad_0020.png,sad,train
1075_ITS_ANG_XX.wav,angry_0021.png,angry,train
1052_IEO_SAD_MD.wav,sad_0022.png,sad,train
1005_IEO_ANG_HI.wav,angry_0023.png,angry,train
1031_TSI_ANG_XX.wav,angry_0024.png,angry,train
1071_ITS_NEU_XX.wav,neutral_0025.png,neutral,train
1035_IWW_ANG_XX.wav,angry_0026.png,angry,train
1053_ITS_NEU_XX.wav,neutral_0027.png,neutral,train
1053_ITH_HAP_XX.wav,happy_0028.png,happy,train
1046_IWW_ANG_XX.wav,angry_0029.png,angry,train
1058_DFA_NEU_XX.wav,neutral_0030.png,neutral,train
1008_IWW_DIS_XX.wav,disgust_0031.png,disgust,train
1046_IEO_SAD_LO.wav,sad_0032.png,sad,train
1063_TSI_FEA_XX.wav,fear_0033.png,fear,train
1062_TSI_SAD_XX.wav,sad_0034.png,sad,train
1030_MTI_SAD_XX.wav,sad_0035.png,sad,train
1023_TAI_SAD_XX.wav,sad_0036.png,sad,train
